p_id,p_name,p_price,source1,op1,source2,op2,source3,op3
aa_1,Ashirvaad_aata,270,https://www.bigbasket.com/pd/126903/aashirvaad-atta-whole-wheat-5-kg-pouch/?nc=as&q=aashirwa,265,https://www.jiomart.com/p/groceries/aashirvaad-whole-wheat-atta-5-kg/490000038,299,https://www.flipkart.com/aashirvaad-superior-mp-atta/p/itm2138546a91477?pid=FLREUC5PSFQUBHTC&lid=LSTFLREUC5PSFQUBHTCW8WKPS&marketplace=GROCERY&iid=97820c6c-0648-44fb-8b88-,235
dr_2,Daawat_rice,89,https://www.bigbasket.com/pd/204005/daawat-basmati-rice-rozana-gold-1-kg-pouch/,79,https://www.jiomart.com/p/groceries/daawat-rozana-super-basmati-rice-1-kg/490863714,60,https://www.flipkart.com/daawat-rozana-gold-basmati-rice-medium-grain/p/itm87d2a5d167c48?pid=RICEUC2YGGQJTXHD&lid=LSTRICEUC2YGGQJTXHDITCFX4&marketplace=GROCERY&iid=9304c4ac-3778-46cb-,88
ms_3,Madhur_sugar,295,https://www.bigbasket.com/pd/214431/madhur-sugar-refined-5-kg-pouch/,240,https://www.jiomart.com/p/groceries/madhur-pure-hygienic-sugar-5-kg/490861956,210,https://www.flipkart.com/madhur-sugar/p/itmevjgp3vsgg77p?pid=SUGEUHHJAFPW8WKF&lid=LSTSUGEUHHJAFPW8WKFOHV5OR&marketplace=GROCERY&iid=0b60fb86-688b-43a0-9e7c-,212
td_4,Toor_dal,159,https://www.bigbasket.com/pd/40000291/tata-sampann-toor-dal-1-kg/,148.66,https://www.jiomart.com/p/groceries/tata-sampann-high-protein-unpolished-tur-arhar-dal-1-kg/490830932,142,Tata  Yellow Toor Dal (Split) Price in India - Buy Tata  Yellow Toor Dal (Split) online at Flipkart.com,172
