p_id,p_name,p_size ,unit,p_price,source1,op1,source2,op2,source3,op3
AA1,Ashirvaad_aata,5,kg,270,https://www.bigbasket.com/pd/126903/aashirvaad-atta-whole-wheat-5-kg-pouch/?nc=as&q=aashirwa,265,https://www.jiomart.com/p/groceries/aashirvaad-whole-wheat-atta-5-kg/490000038,299,https://www.flipkart.com/aashirvaad-superior-mp-atta/p/itm2138546a91477?pid=FLREUC5PSFQUBHTC&lid=LSTFLREUC5PSFQUBHTCW8WKPS&marketplace=GROCERY&iid=97820c6c-0648-44fb-8b88-,235
DR1,Daawat_rice,1,kg,89,https://www.bigbasket.com/pd/204005/daawat-basmati-rice-rozana-gold-1-kg-pouch/,79,https://www.jiomart.com/p/groceries/daawat-rozana-super-basmati-rice-1-kg/490863714,60,https://www.flipkart.com/daawat-rozana-gold-basmati-rice-medium-grain/p/itm87d2a5d167c48?pid=RICEUC2YGGQJTXHD&lid=LSTRICEUC2YGGQJTXHDITCFX4&marketplace=GROCERY&iid=9304c4ac-3778-46cb-,88
MS1,Madhur_sugar,5,kg,295,https://www.bigbasket.com/pd/214431/madhur-sugar-refined-5-kg-pouch/,240,https://www.jiomart.com/p/groceries/madhur-pure-hygienic-sugar-5-kg/490861956,210,https://www.flipkart.com/madhur-sugar/p/itmevjgp3vsgg77p?pid=SUGEUHHJAFPW8WKF&lid=LSTSUGEUHHJAFPW8WKFOHV5OR&marketplace=GROCERY&iid=0b60fb86-688b-43a0-9e7c-,212
TD1,Toor_dal,1,kg,159,https://www.bigbasket.com/pd/40000291/tata-sampann-toor-dal-1-kg/,148.66,https://www.jiomart.com/p/groceries/tata-sampann-high-protein-unpolished-tur-arhar-dal-1-kg/490830932,142,https://www.flipkart.com/tata-sampann-toor-dal/p/itmf6verd4jgzt7y?pid=PLSEU7M4X7YWF2W6&lid=LSTPLSEU7M4X7YWF2W6WE7VH3&marketplace=GROCERY&iid=e4f82acb-4dff-4706-9124-c65d65a66ed6.PLSEU7M4X7YWF2W6.SEARCH,146
